project_id,sector,implementing_agency,sanctioned_cost_cr,sanctioned_duration_months,start_date,elapsed_time_pct,fund_utilization_pct,physical_progress_pct,cost_overrun_pct,delay_months,risk_label,project_name
PRJ0060,Irrigation,NTPC,4.43,12,2022-12-09,99.1,62.7,63.0,29.4,3.9,High,NTPC Irrigation Phase 0060
PRJ0061,Roads & Highways,NTPC,30.46,24,2021-05-22,98.0,73.3,63.1,14.4,9.3,Medium,NTPC Roads & Highways Phase 0061
PRJ0062,Power,Municipal Corporation,18.42,12,2021-03-16,88.6,61.7,49.0,24.3,5.0,High,Municipal Corporation Power Phase 0062
PRJ0063,Roads & Highways,NHAI,26.81,12,2023-05-22,95.3,83.1,81.1,6.7,0.7,Low,NHAI Roads & Highways Phase 0063
PRJ0064,Railways,NHAI,54.4,24,2020-11-12,67.1,64.4,58.8,21.1,2.2,Medium,NHAI Railways Phase 0064
PRJ0065,Irrigation,NHAI,36.69,18,2020-03-18,47.7,32.2,25.7,21.0,5.2,Medium,NHAI Irrigation Phase 0065
PRJ0066,Irrigation,Municipal Corporation,21.89,60,2023-06-02,93.4,90.3,63.4,23.9,21.8,High,Municipal Corporation Irrigation Phase 0066
PRJ0067,Power,CPWD,60.9,24,2020-05-18,114.6,77.4,62.9,32.9,12.9,High,CPWD Power Phase 0067
PRJ0068,Roads & Highways,Municipal Corporation,2.68,12,2022-01-04,61.7,51.4,38.8,27.7,0.5,Medium,Municipal Corporation Roads & Highways Phase 0068
PRJ0069,Roads & Highways,CPWD,21.19,12,2023-11-17,65.5,60.5,47.7,10.9,4.0,Medium,CPWD Roads & Highways Phase 0069
PRJ0070,Power,CPWD,127.59,24,2020-09-19,132.2,123.3,120.0,22.5,4.0,Medium,CPWD Power Phase 0070
PRJ0071,Roads & Highways,Indian Railways,93.4,48,2019-09-09,117.5,80.0,60.6,32.0,25.1,High,Indian Railways Roads & Highways Phase 0071
PRJ0072,Power,CPWD,34.36,24,2020-10-07,126.5,95.8,94.4,13.5,7.2,Medium,CPWD Power Phase 0072
PRJ0073,Power,State PWD,173.6,24,2020-02-22,129.0,97.2,86.5,24.9,11.0,High,State PWD Power Phase 0073
PRJ0074,Power,CPWD,127.48,60,2022-02-03,66.8,43.8,42.9,26.7,21.2,High,CPWD Power Phase 0074
PRJ0075,Power,Municipal Corporation,158.71,12,2020-01-04,108.5,86.6,83.5,28.0,3.8,Medium,Municipal Corporation Power Phase 0075
PRJ0076,Urban Infrastructure,State PWD,19.26,12,2020-12-16,117.7,77.7,60.6,29.5,7.8,High,State PWD Urban Infrastructure Phase 0076
PRJ0077,Power,NTPC,356.66,24,2023-01-28,135.5,99.9,77.9,39.1,11.1,High,NTPC Power Phase 0077
PRJ0078,Power,Municipal Corporation,28.06,60,2019-09-08,41.1,28.9,27.5,14.6,13.1,Medium,Municipal Corporation Power Phase 0078
PRJ0079,Urban Infrastructure,State PWD,69.31,18,2021-11-03,96.7,74.5,71.3,20.0,3.4,Medium,State PWD Urban Infrastructure Phase 0079
PRJ0080,Irrigation,Indian Railways,47.54,48,2019-08-13,131.3,124.5,109.7,13.9,16.0,Medium,Indian Railways Irrigation Phase 0080
PRJ0081,Roads & Highways,State PWD,177.34,12,2020-08-23,73.8,60.1,61.5,11.7,0.0,Low,State PWD Roads & Highways Phase 0081
PRJ0082,Railways,NTPC,13.14,24,2020-02-09,79.8,52.4,39.9,14.8,10.6,Medium,NTPC Railways Phase 0082
PRJ0083,Roads & Highways,NHAI,24.78,18,2020-01-18,86.7,85.8,73.9,16.2,4.5,Medium,NHAI Roads & Highways Phase 0083
PRJ0084,Irrigation,NHAI,66.26,18,2020-07-11,73.7,56.8,55.7,19.6,1.4,Medium,NHAI Irrigation Phase 0084
PRJ0085,Roads & Highways,State PWD,180.32,24,2020-06-13,108.5,88.0,78.1,17.2,6.3,Medium,State PWD Roads & Highways Phase 0085
PRJ0086,Power,Municipal Corporation,1.08,18,2023-04-01,134.1,100.5,79.8,23.0,12.3,High,Municipal Corporation Power Phase 0086
PRJ0087,Urban Infrastructure,Indian Railways,41.16,24,2020-04-01,51.6,41.4,37.6,19.4,5.6,Medium,Indian Railways Urban Infrastructure Phase 0087
PRJ0088,Power,NHAI,6.9,24,2022-07-21,118.6,118.1,107.6,9.4,3.3,Low,NHAI Power Phase 0088
PRJ0089,Railways,Indian Railways,8.7,48,2023-01-11,67.6,47.6,39.6,34.0,14.5,High,Indian Railways Railways Phase 0089
PRJ0090,Irrigation,State PWD,106.34,24,2021-09-20,78.0,56.0,57.8,20.5,7.2,Medium,State PWD Irrigation Phase 0090
PRJ0091,Railways,CPWD,159.02,36,2021-02-04,32.5,23.0,20.4,24.0,6.0,Medium,CPWD Railways Phase 0091
PRJ0092,Power,CPWD,123.67,60,2021-08-04,48.9,34.7,24.5,15.4,18.8,Medium,CPWD Power Phase 0092
PRJ0093,Roads & Highways,State PWD,169.37,18,2019-01-20,45.1,43.3,43.5,14.1,3.7,Medium,State PWD Roads & Highways Phase 0093
PRJ0094,Roads & Highways,State PWD,307.21,18,2023-07-04,76.1,57.3,50.5,18.8,5.0,Medium,State PWD Roads & Highways Phase 0094
PRJ0095,Urban Infrastructure,NTPC,27.86,18,2020-10-02,109.1,78.4,70.4,13.2,9.9,High,NTPC Urban Infrastructure Phase 0095
PRJ0096,Irrigation,NHAI,39.06,18,2021-08-29,47.8,44.8,44.6,15.2,5.9,Medium,NHAI Irrigation Phase 0096
PRJ0097,Roads & Highways,NHAI,17.28,36,2021-12-12,80.6,50.8,36.9,10.4,16.1,Medium,NHAI Roads & Highways Phase 0097
PRJ0098,Roads & Highways,State PWD,28.39,36,2022-05-28,87.3,55.4,57.4,19.5,12.6,Medium,State PWD Roads & Highways Phase 0098
PRJ0099,Roads & Highways,State PWD,136.64,18,2021-05-30,54.3,54.1,55.7,13.0,2.2,Medium,State PWD Roads & Highways Phase 0099
PRJ0100,Irrigation,NHAI,63.26,18,2019-07-27,76.4,70.1,67.4,19.2,2.3,Medium,NHAI Irrigation Phase 0100
PRJ0101,Power,Indian Railways,240.48,24,2021-10-06,82.9,79.1,70.1,29.5,1.9,Medium,Indian Railways Power Phase 0101
PRJ0102,Roads & Highways,Municipal Corporation,13.3,36,2020-07-27,98.8,94.3,86.4,11.8,7.2,Medium,Municipal Corporation Roads & Highways Phase 0102
PRJ0103,Power,NTPC,30.91,24,2022-02-03,126.1,125.3,120.0,24.2,1.2,Medium,NTPC Power Phase 0103
PRJ0104,Irrigation,NHAI,7.89,18,2019-07-18,69.0,49.3,39.6,13.8,4.4,Medium,NHAI Irrigation Phase 0104
PRJ0105,Urban Infrastructure,Municipal Corporation,101.43,60,2023-05-11,96.1,92.4,96.7,4.4,4.1,Low,Municipal Corporation Urban Infrastructure Phase 0105
PRJ0106,Urban Infrastructure,State PWD,57.96,36,2021-12-29,86.4,59.8,45.6,18.3,13.4,Medium,State PWD Urban Infrastructure Phase 0106
PRJ0107,Power,CPWD,96.24,18,2021-07-21,95.7,77.5,61.3,31.5,4.1,Medium,CPWD Power Phase 0107
PRJ0108,Roads & Highways,NTPC,1779.54,48,2020-02-08,54.6,44.5,40.4,22.4,8.4,Medium,NTPC Roads & Highways Phase 0108
PRJ0109,Roads & Highways,NTPC,44.74,12,2023-03-14,33.9,24.8,25.4,2.2,0.1,Low,NTPC Roads & Highways Phase 0109
PRJ0110,Urban Infrastructure,CPWD,159.55,18,2022-07-26,84.5,53.5,41.5,21.4,7.8,High,CPWD Urban Infrastructure Phase 0110
PRJ0111,Roads & Highways,Indian Railways,1.19,24,2023-01-24,68.3,59.5,53.4,7.4,5.1,Medium,Indian Railways Roads & Highways Phase 0111
PRJ0112,Power,Municipal Corporation,36.77,48,2023-04-11,107.9,100.9,95.2,23.9,12.2,Medium,Municipal Corporation Power Phase 0112
PRJ0113,Urban Infrastructure,State PWD,36.33,36,2019-10-17,120.0,111.9,98.2,12.0,9.1,Medium,State PWD Urban Infrastructure Phase 0113
PRJ0114,Roads & Highways,Indian Railways,57.46,36,2021-08-29,115.8,74.4,71.9,22.8,14.7,High,Indian Railways Roads & Highways Phase 0114
PRJ0115,Urban Infrastructure,Municipal Corporation,100.78,36,2019-11-09,114.8,112.4,85.2,15.9,12.2,Medium,Municipal Corporation Urban Infrastructure Phase 0115
PRJ0116,Roads & Highways,CPWD,159.91,36,2019-03-24,125.9,124.5,120.0,9.9,4.3,Low,CPWD Roads & Highways Phase 0116
PRJ0117,Irrigation,Municipal Corporation,47.27,36,2022-05-14,79.0,56.1,58.8,11.8,7.7,Medium,Municipal Corporation Irrigation Phase 0117
PRJ0118,Irrigation,State PWD,4.86,18,2023-02-20,115.0,79.6,59.4,20.8,9.2,High,State PWD Irrigation Phase 0118
PRJ0119,Railways,Municipal Corporation,153.91,18,2023-04-12,108.6,89.6,77.5,33.2,4.9,High,Municipal Corporation Railways Phase 0119
PRJ0120,Roads & Highways,NHAI,64.69,12,2019-10-04,79.9,64.9,45.8,14.6,5.3,Medium,NHAI Roads & Highways Phase 0120
PRJ0121,Urban Infrastructure,Indian Railways,215.75,24,2019-07-31,43.8,38.3,32.5,19.6,3.8,Medium,Indian Railways Urban Infrastructure Phase 0121
PRJ0122,Irrigation,State PWD,11.32,24,2021-02-18,138.3,91.2,78.7,26.4,16.6,High,State PWD Irrigation Phase 0122
PRJ0123,Power,State PWD,72.52,36,2019-09-20,41.3,34.2,24.2,23.1,6.5,Medium,State PWD Power Phase 0123
PRJ0124,Roads & Highways,Indian Railways,49.47,36,2023-08-22,38.0,30.9,31.2,3.8,2.3,Low,Indian Railways Roads & Highways Phase 0124
PRJ0125,Railways,CPWD,150.09,12,2022-04-21,134.7,87.5,88.7,35.3,8.5,High,CPWD Railways Phase 0125
PRJ0126,Roads & Highways,Indian Railways,250.0,60,2023-09-02,98.8,90.2,82.5,27.7,10.9,Medium,Indian Railways Roads & Highways Phase 0126
PRJ0127,Urban Infrastructure,CPWD,43.91,36,2021-08-05,110.5,69.9,50.4,32.5,18.8,High,CPWD Urban Infrastructure Phase 0127
PRJ0128,Irrigation,NTPC,32.06,18,2023-10-23,67.1,45.1,44.1,22.3,8.5,High,NTPC Irrigation Phase 0128
PRJ0129,Railways,CPWD,19.56,60,2023-10-21,101.5,69.0,64.8,31.4,24.8,High,CPWD Railways Phase 0129
PRJ0130,Irrigation,Indian Railways,8.71,36,2021-02-04,68.1,50.9,53.3,12.1,11.3,Medium,Indian Railways Irrigation Phase 0130
PRJ0131,Irrigation,Indian Railways,178.85,60,2021-01-29,60.5,50.6,51.6,21.6,11.8,Medium,Indian Railways Irrigation Phase 0131
PRJ0132,Irrigation,NHAI,13.75,12,2022-07-12,130.0,87.3,68.4,31.5,9.0,High,NHAI Irrigation Phase 0132
PRJ0133,Urban Infrastructure,State PWD,127.6,24,2021-12-03,48.0,36.3,37.7,0.9,4.9,Low,State PWD Urban Infrastructure Phase 0133
PRJ0134,Roads & Highways,Municipal Corporation,13.87,12,2023-10-12,79.9,55.5,40.3,18.6,2.6,Medium,Municipal Corporation Roads & Highways Phase 0134
PRJ0135,Railways,Municipal Corporation,41.05,18,2022-01-15,107.7,71.8,54.5,38.3,9.5,High,Municipal Corporation Railways Phase 0135
PRJ0136,Roads & Highways,Municipal Corporation,536.15,24,2023-04-05,91.4,74.6,53.1,22.1,9.6,High,Municipal Corporation Roads & Highways Phase 0136
PRJ0137,Irrigation,State PWD,360.44,24,2021-05-13,105.5,64.0,52.0,40.4,13.0,High,State PWD Irrigation Phase 0137
PRJ0138,Power,Indian Railways,84.79,18,2021-08-16,43.8,28.6,21.5,22.6,5.3,Medium,Indian Railways Power Phase 0138
PRJ0139,Railways,State PWD,74.01,24,2023-04-12,49.5,43.4,43.1,17.8,4.5,Medium,State PWD Railways Phase 0139
PRJ0140,Railways,Indian Railways,81.57,36,2023-04-14,92.8,56.8,58.3,33.8,16.3,High,Indian Railways Railways Phase 0140
PRJ0141,Power,CPWD,329.24,12,2022-03-30,139.9,86.7,90.3,28.3,7.5,High,CPWD Power Phase 0141
PRJ0142,Roads & Highways,State PWD,41.36,24,2022-08-22,126.6,96.5,78.6,26.1,11.4,High,State PWD Roads & Highways Phase 0142
PRJ0143,Railways,State PWD,39.36,48,2019-08-05,89.9,54.1,44.1,37.1,21.7,High,State PWD Railways Phase 0143
PRJ0144,Irrigation,NTPC,8.95,24,2021-03-18,56.1,42.1,32.8,22.9,6.1,Medium,NTPC Irrigation Phase 0144
PRJ0145,Railways,Indian Railways,4.6,48,2021-07-23,82.7,50.5,41.4,25.0,19.8,High,Indian Railways Railways Phase 0145
PRJ0146,Irrigation,Municipal Corporation,8.94,24,2020-12-10,90.4,81.3,77.2,26.1,5.4,Medium,Municipal Corporation Irrigation Phase 0146
PRJ0147,Power,State PWD,41.35,60,2019-04-19,132.8,98.3,72.3,32.9,32.8,High,State PWD Power Phase 0147
PRJ0148,Urban Infrastructure,CPWD,49.0,18,2022-12-16,89.3,64.7,59.1,13.6,7.0,Medium,CPWD Urban Infrastructure Phase 0148
PRJ0149,Urban Infrastructure,Indian Railways,47.1,36,2019-11-23,87.8,77.6,57.2,17.8,8.9,Medium,Indian Railways Urban Infrastructure Phase 0149
PRJ0150,Urban Infrastructure,Municipal Corporation,88.63,24,2022-12-21,90.5,55.9,51.5,22.1,10.0,High,Municipal Corporation Urban Infrastructure Phase 0150
PRJ0151,Irrigation,CPWD,234.58,36,2019-11-11,69.7,67.1,65.0,24.0,2.9,Medium,CPWD Irrigation Phase 0151
PRJ0152,Urban Infrastructure,Indian Railways,82.48,36,2023-03-13,103.9,95.9,92.9,13.2,4.0,Medium,Indian Railways Urban Infrastructure Phase 0152
PRJ0153,Irrigation,NHAI,109.63,18,2019-06-22,32.6,27.9,25.5,22.0,0.7,Medium,NHAI Irrigation Phase 0153
PRJ0154,Irrigation,State PWD,73.3,12,2019-09-13,60.2,50.5,47.3,11.4,0.0,Low,State PWD Irrigation Phase 0154
PRJ0155,Roads & Highways,NHAI,83.84,18,2023-06-18,115.0,81.2,75.2,25.7,4.3,Medium,NHAI Roads & Highways Phase 0155
PRJ0156,Roads & Highways,NTPC,310.77,18,2022-01-15,78.7,73.4,68.6,17.7,1.6,Medium,NTPC Roads & Highways Phase 0156
PRJ0157,Railways,NTPC,6.09,18,2022-04-20,139.4,120.5,107.9,27.9,6.4,High,NTPC Railways Phase 0157
PRJ0158,Urban Infrastructure,Indian Railways,364.86,60,2019-11-12,105.9,72.1,63.9,27.2,23.0,High,Indian Railways Urban Infrastructure Phase 0158
PRJ0159,Urban Infrastructure,NHAI,4.18,12,2023-10-20,32.2,28.8,27.9,8.7,2.4,Medium,NHAI Urban Infrastructure Phase 0159
PRJ0160,Urban Infrastructure,CPWD,15.32,18,2022-11-19,125.1,105.5,92.6,17.0,5.3,Medium,CPWD Urban Infrastructure Phase 0160
PRJ0161,Irrigation,Indian Railways,10.07,18,2021-07-06,120.8,86.0,88.5,18.3,7.2,Medium,Indian Railways Irrigation Phase 0161
PRJ0162,Urban Infrastructure,State PWD,255.26,24,2021-06-21,73.7,60.1,55.3,21.6,8.2,Medium,State PWD Urban Infrastructure Phase 0162
PRJ0163,Power,Municipal Corporation,29.94,12,2019-10-04,54.6,53.7,48.3,22.1,2.0,Medium,Municipal Corporation Power Phase 0163
PRJ0164,Irrigation,CPWD,119.15,18,2021-12-27,45.3,43.5,43.0,20.4,2.2,Medium,CPWD Irrigation Phase 0164
PRJ0165,Roads & Highways,State PWD,27.93,12,2019-09-01,135.9,111.4,115.7,12.7,0.0,Low,State PWD Roads & Highways Phase 0165
PRJ0166,Urban Infrastructure,Indian Railways,26.81,18,2023-03-13,30.0,18.2,16.6,7.3,0.8,Low,Indian Railways Urban Infrastructure Phase 0166
PRJ0167,Irrigation,NTPC,29.4,24,2022-09-19,98.1,70.6,60.0,23.1,8.9,High,NTPC Irrigation Phase 0167
PRJ0168,Urban Infrastructure,NHAI,139.76,24,2023-11-30,119.5,101.1,81.6,24.8,12.4,High,NHAI Urban Infrastructure Phase 0168
PRJ0169,Railways,State PWD,47.4,18,2020-10-23,75.6,70.3,67.3,26.0,2.6,Medium,State PWD Railways Phase 0169
PRJ0170,Irrigation,Indian Railways,3.16,36,2019-12-08,98.1,71.5,71.0,16.9,12.6,Medium,Indian Railways Irrigation Phase 0170
PRJ0171,Irrigation,State PWD,47.72,18,2022-03-08,84.9,60.0,45.1,24.7,8.8,High,State PWD Irrigation Phase 0171
PRJ0172,Power,NHAI,13.98,36,2023-03-28,73.2,71.9,53.7,21.6,8.3,Medium,NHAI Power Phase 0172
PRJ0173,Roads & Highways,NHAI,78.08,18,2022-11-07,120.8,96.4,80.5,18.8,4.5,Medium,NHAI Roads & Highways Phase 0173
PRJ0174,Roads & Highways,Municipal Corporation,40.31,24,2023-05-08,41.6,41.4,35.4,14.3,4.4,Medium,Municipal Corporation Roads & Highways Phase 0174
PRJ0175,Power,NTPC,22.58,18,2020-09-21,115.2,99.6,76.2,31.7,9.3,High,NTPC Power Phase 0175
PRJ0176,Railways,CPWD,120.4,12,2021-07-15,128.9,117.7,91.7,28.6,4.9,High,CPWD Railways Phase 0176
PRJ0177,Roads & Highways,Indian Railways,157.34,18,2019-08-14,82.2,53.1,46.2,19.9,6.3,Medium,Indian Railways Roads & Highways Phase 0177
PRJ0178,Urban Infrastructure,Indian Railways,135.97,12,2020-08-31,132.1,91.1,75.7,18.1,3.3,Medium,Indian Railways Urban Infrastructure Phase 0178
PRJ0179,Roads & Highways,Indian Railways,42.8,48,2022-03-08,61.4,56.9,57.0,8.6,5.6,Low,Indian Railways Roads & Highways Phase 0179
PRJ0180,Irrigation,CPWD,22.31,48,2022-08-04,115.4,99.5,75.9,28.0,20.6,High,CPWD Irrigation Phase 0180
PRJ0181,Urban Infrastructure,State PWD,30.14,36,2019-06-15,136.2,108.3,81.5,25.8,16.8,High,State PWD Urban Infrastructure Phase 0181
PRJ0182,Irrigation,State PWD,7.77,36,2022-01-06,41.7,27.5,20.2,26.5,10.5,Medium,State PWD Irrigation Phase 0182
PRJ0183,Irrigation,Indian Railways,234.98,36,2023-05-06,60.6,41.0,41.4,26.7,7.6,Medium,Indian Railways Irrigation Phase 0183
PRJ0184,Irrigation,CPWD,178.71,36,2019-12-05,69.1,63.1,56.4,15.5,6.0,Medium,CPWD Irrigation Phase 0184
PRJ0185,Power,CPWD,22.22,36,2023-05-15,95.2,72.1,60.8,13.6,11.4,Medium,CPWD Power Phase 0185
PRJ0186,Roads & Highways,State PWD,218.95,12,2021-11-24,82.9,71.0,51.3,28.0,6.7,High,State PWD Roads & Highways Phase 0186
PRJ0187,Urban Infrastructure,CPWD,865.8,36,2019-02-11,65.4,55.9,42.1,29.1,10.9,Medium,CPWD Urban Infrastructure Phase 0187
PRJ0188,Railways,CPWD,138.82,18,2023-01-25,87.2,65.4,48.6,26.1,9.0,High,CPWD Railways Phase 0188
PRJ0189,Urban Infrastructure,NHAI,288.53,60,2023-08-07,100.7,77.4,71.4,26.2,17.7,Medium,NHAI Urban Infrastructure Phase 0189
