project_id,sector,implementing_agency,sanctioned_cost_cr,sanctioned_duration_months,start_date,elapsed_time_pct,fund_utilization_pct,physical_progress_pct,cost_overrun_pct,delay_months,risk_label
PRJ0082,Railways,NTPC,13.14,24,2020-02-09,0.798,0.524,0.399,0.148,10.6,Medium
PRJ0083,Roads & Highways,NHAI,24.78,18,2020-01-18,0.867,0.858,0.739,0.162,4.5,Medium
PRJ0084,Irrigation,NHAI,66.26,18,2020-07-11,0.737,0.568,0.557,0.196,1.4,Medium
PRJ0085,Roads & Highways,State PWD,180.32,24,2020-06-13,1.085,0.88,0.781,0.172,6.3,Medium
PRJ0086,Power,Municipal Corporation,1.08,18,2023-04-01,1.341,1.005,0.798,0.23,12.3,High
PRJ0087,Urban Infrastructure,Indian Railways,41.16,24,2020-04-01,0.516,0.414,0.376,0.194,5.6,Medium
PRJ0088,Power,NHAI,6.9,24,2022-07-21,1.186,1.181,1.076,0.094,3.3,Low
PRJ0089,Railways,Indian Railways,8.7,48,2023-01-11,0.676,0.476,0.396,0.34,14.5,High
PRJ0090,Irrigation,State PWD,106.34,24,2021-09-20,0.78,0.56,0.578,0.205,7.2,Medium
PRJ0091,Railways,CPWD,159.02,36,2021-02-04,0.325,0.23,0.204,0.24,6.0,Medium
PRJ0092,Power,CPWD,123.67,60,2021-08-04,0.489,0.347,0.245,0.154,18.8,Medium
PRJ0093,Roads & Highways,State PWD,169.37,18,2019-01-20,0.451,0.433,0.435,0.141,3.7,Medium
PRJ0094,Roads & Highways,State PWD,307.21,18,2023-07-04,0.761,0.573,0.505,0.188,5.0,Medium
PRJ0095,Urban Infrastructure,NTPC,27.86,18,2020-10-02,1.091,0.784,0.704,0.132,9.9,High
PRJ0096,Irrigation,NHAI,39.06,18,2021-08-29,0.478,0.448,0.446,0.152,5.9,Medium
PRJ0097,Roads & Highways,NHAI,17.28,36,2021-12-12,0.806,0.508,0.369,0.104,16.1,Medium
PRJ0098,Roads & Highways,State PWD,28.39,36,2022-05-28,0.873,0.554,0.574,0.195,12.6,Medium
PRJ0099,Roads & Highways,State PWD,136.64,18,2021-05-30,0.543,0.541,0.557,0.13,2.2,Medium
PRJ0100,Irrigation,NHAI,63.26,18,2019-07-27,0.764,0.701,0.674,0.192,2.3,Medium
PRJ0101,Power,Indian Railways,240.48,24,2021-10-06,0.829,0.791,0.701,0.295,1.9,Medium
PRJ0102,Roads & Highways,Municipal Corporation,13.3,36,2020-07-27,0.988,0.943,0.864,0.118,7.2,Medium
PRJ0103,Power,NTPC,30.91,24,2022-02-03,1.261,1.253,1.2,0.242,1.2,Medium
PRJ0104,Irrigation,NHAI,7.89,18,2019-07-18,0.69,0.493,0.396,0.138,4.4,Medium
PRJ0105,Urban Infrastructure,Municipal Corporation,101.43,60,2023-05-11,0.961,0.924,0.967,0.044,4.1,Low
PRJ0106,Urban Infrastructure,State PWD,57.96,36,2021-12-29,0.864,0.598,0.456,0.183,13.4,Medium
PRJ0107,Power,CPWD,96.24,18,2021-07-21,0.957,0.775,0.613,0.315,4.1,Medium
PRJ0108,Roads & Highways,NTPC,1779.54,48,2020-02-08,0.546,0.445,0.404,0.224,8.4,Medium
PRJ0109,Roads & Highways,NTPC,44.74,12,2023-03-14,0.339,0.248,0.254,0.022,0.1,Low
PRJ0110,Urban Infrastructure,CPWD,159.55,18,2022-07-26,0.845,0.535,0.415,0.214,7.8,High
PRJ0111,Roads & Highways,Indian Railways,1.19,24,2023-01-24,0.683,0.595,0.534,0.074,5.1,Medium
PRJ0112,Power,Municipal Corporation,36.77,48,2023-04-11,1.079,1.009,0.952,0.239,12.2,Medium
PRJ0113,Urban Infrastructure,State PWD,36.33,36,2019-10-17,1.2,1.119,0.982,0.12,9.1,Medium
PRJ0114,Roads & Highways,Indian Railways,57.46,36,2021-08-29,1.158,0.744,0.719,0.228,14.7,High
PRJ0115,Urban Infrastructure,Municipal Corporation,100.78,36,2019-11-09,1.148,1.124,0.852,0.159,12.2,Medium
PRJ0116,Roads & Highways,CPWD,159.91,36,2019-03-24,1.259,1.245,1.2,0.099,4.3,Low
PRJ0117,Irrigation,Municipal Corporation,47.27,36,2022-05-14,0.79,0.561,0.588,0.118,7.7,Medium
PRJ0118,Irrigation,State PWD,4.86,18,2023-02-20,1.15,0.796,0.594,0.208,9.2,High
PRJ0119,Railways,Municipal Corporation,153.91,18,2023-04-12,1.086,0.896,0.775,0.332,4.9,High
PRJ0120,Roads & Highways,NHAI,64.69,12,2019-10-04,0.799,0.649,0.458,0.146,5.3,Medium
PRJ0121,Urban Infrastructure,Indian Railways,215.75,24,2019-07-31,0.438,0.383,0.325,0.196,3.8,Medium
PRJ0122,Irrigation,State PWD,11.32,24,2021-02-18,1.383,0.912,0.787,0.264,16.6,High
PRJ0123,Power,State PWD,72.52,36,2019-09-20,0.413,0.342,0.242,0.231,6.5,Medium
PRJ0124,Roads & Highways,Indian Railways,49.47,36,2023-08-22,0.38,0.309,0.312,0.038,2.3,Low
PRJ0125,Railways,CPWD,150.09,12,2022-04-21,1.347,0.875,0.887,0.353,8.5,High
PRJ0126,Roads & Highways,Indian Railways,250.0,60,2023-09-02,0.988,0.902,0.825,0.277,10.9,Medium
PRJ0127,Urban Infrastructure,CPWD,43.91,36,2021-08-05,1.105,0.699,0.504,0.325,18.8,High
PRJ0128,Irrigation,NTPC,32.06,18,2023-10-23,0.671,0.451,0.441,0.223,8.5,High
PRJ0129,Railways,CPWD,19.56,60,2023-10-21,1.015,0.69,0.648,0.314,24.8,High
PRJ0130,Irrigation,Indian Railways,8.71,36,2021-02-04,0.681,0.509,0.533,0.121,11.3,Medium
PRJ0131,Irrigation,Indian Railways,178.85,60,2021-01-29,0.605,0.506,0.516,0.216,11.8,Medium
PRJ0132,Irrigation,NHAI,13.75,12,2022-07-12,1.3,0.873,0.684,0.315,9.0,High
PRJ0133,Urban Infrastructure,State PWD,127.6,24,2021-12-03,0.48,0.363,0.377,0.009,4.9,Low
PRJ0134,Roads & Highways,Municipal Corporation,13.87,12,2023-10-12,0.799,0.555,0.403,0.186,2.6,Medium
PRJ0135,Railways,Municipal Corporation,41.05,18,2022-01-15,1.077,0.718,0.545,0.383,9.5,High
PRJ0136,Roads & Highways,Municipal Corporation,536.15,24,2023-04-05,0.914,0.746,0.531,0.221,9.6,High
PRJ0137,Irrigation,State PWD,360.44,24,2021-05-13,1.055,0.64,0.52,0.404,13.0,High
PRJ0138,Power,Indian Railways,84.79,18,2021-08-16,0.438,0.286,0.215,0.226,5.3,Medium
PRJ0139,Railways,State PWD,74.01,24,2023-04-12,0.495,0.434,0.431,0.178,4.5,Medium
PRJ0140,Railways,Indian Railways,81.57,36,2023-04-14,0.928,0.568,0.583,0.338,16.3,High
PRJ0141,Power,CPWD,329.24,12,2022-03-30,1.399,0.867,0.903,0.283,7.5,High
PRJ0142,Roads & Highways,State PWD,41.36,24,2022-08-22,1.266,0.965,0.786,0.261,11.4,High
PRJ0143,Railways,State PWD,39.36,48,2019-08-05,0.899,0.541,0.441,0.371,21.7,High
PRJ0144,Irrigation,NTPC,8.95,24,2021-03-18,0.561,0.421,0.328,0.229,6.1,Medium
PRJ0145,Railways,Indian Railways,4.6,48,2021-07-23,0.827,0.505,0.414,0.25,19.8,High
PRJ0146,Irrigation,Municipal Corporation,8.94,24,2020-12-10,0.904,0.813,0.772,0.261,5.4,Medium
PRJ0147,Power,State PWD,41.35,60,2019-04-19,1.328,0.983,0.723,0.329,32.8,High
PRJ0148,Urban Infrastructure,CPWD,49.0,18,2022-12-16,0.893,0.647,0.591,0.136,7.0,Medium
PRJ0149,Urban Infrastructure,Indian Railways,47.1,36,2019-11-23,0.878,0.776,0.572,0.178,8.9,Medium
PRJ0150,Urban Infrastructure,Municipal Corporation,88.63,24,2022-12-21,0.905,0.559,0.515,0.221,10.0,High
PRJ0151,Irrigation,CPWD,234.58,36,2019-11-11,0.697,0.671,0.65,0.24,2.9,Medium
PRJ0152,Urban Infrastructure,Indian Railways,82.48,36,2023-03-13,1.039,0.959,0.929,0.132,4.0,Medium
PRJ0153,Irrigation,NHAI,109.63,18,2019-06-22,0.326,0.279,0.255,0.22,0.7,Medium
PRJ0154,Irrigation,State PWD,73.3,12,2019-09-13,0.602,0.505,0.473,0.114,0.0,Low
PRJ0155,Roads & Highways,NHAI,83.84,18,2023-06-18,1.15,0.812,0.752,0.257,4.3,Medium
PRJ0156,Roads & Highways,NTPC,310.77,18,2022-01-15,0.787,0.734,0.686,0.177,1.6,Medium
PRJ0157,Railways,NTPC,6.09,18,2022-04-20,1.394,1.205,1.079,0.279,6.4,High
PRJ0158,Urban Infrastructure,Indian Railways,364.86,60,2019-11-12,1.059,0.721,0.639,0.272,23.0,High
PRJ0159,Urban Infrastructure,NHAI,4.18,12,2023-10-20,0.322,0.288,0.279,0.087,2.4,Medium
PRJ0160,Urban Infrastructure,CPWD,15.32,18,2022-11-19,1.251,1.055,0.926,0.17,5.3,Medium
PRJ0161,Irrigation,Indian Railways,10.07,18,2021-07-06,1.208,0.86,0.885,0.183,7.2,Medium
PRJ0162,Urban Infrastructure,State PWD,255.26,24,2021-06-21,0.737,0.601,0.553,0.216,8.2,Medium
PRJ0163,Power,Municipal Corporation,29.94,12,2019-10-04,0.546,0.537,0.483,0.221,2.0,Medium
PRJ0164,Irrigation,CPWD,119.15,18,2021-12-27,0.453,0.435,0.43,0.204,2.2,Medium
PRJ0165,Roads & Highways,State PWD,27.93,12,2019-09-01,1.359,1.114,1.157,0.127,0.0,Low
PRJ0166,Urban Infrastructure,Indian Railways,26.81,18,2023-03-13,0.3,0.182,0.166,0.073,0.8,Low
PRJ0167,Irrigation,NTPC,29.4,24,2022-09-19,0.981,0.706,0.6,0.231,8.9,High
PRJ0168,Urban Infrastructure,NHAI,139.76,24,2023-11-30,1.195,1.011,0.816,0.248,12.4,High
PRJ0169,Railways,State PWD,47.4,18,2020-10-23,0.756,0.703,0.673,0.26,2.6,Medium
PRJ0170,Irrigation,Indian Railways,3.16,36,2019-12-08,0.981,0.715,0.71,0.169,12.6,Medium
PRJ0171,Irrigation,State PWD,47.72,18,2022-03-08,0.849,0.6,0.451,0.247,8.8,High
PRJ0172,Power,NHAI,13.98,36,2023-03-28,0.732,0.719,0.537,0.216,8.3,Medium
PRJ0173,Roads & Highways,NHAI,78.08,18,2022-11-07,1.208,0.964,0.805,0.188,4.5,Medium
PRJ0174,Roads & Highways,Municipal Corporation,40.31,24,2023-05-08,0.416,0.414,0.354,0.143,4.4,Medium
PRJ0175,Power,NTPC,22.58,18,2020-09-21,1.152,0.996,0.762,0.317,9.3,High
PRJ0176,Railways,CPWD,120.4,12,2021-07-15,1.289,1.177,0.917,0.286,4.9,High
PRJ0177,Roads & Highways,Indian Railways,157.34,18,2019-08-14,0.822,0.531,0.462,0.199,6.3,Medium
PRJ0178,Urban Infrastructure,Indian Railways,135.97,12,2020-08-31,1.321,0.911,0.757,0.181,3.3,Medium
PRJ0179,Roads & Highways,Indian Railways,42.8,48,2022-03-08,0.614,0.569,0.57,0.086,5.6,Low
PRJ0180,Irrigation,CPWD,22.31,48,2022-08-04,1.154,0.995,0.759,0.28,20.6,High
PRJ0181,Urban Infrastructure,State PWD,30.14,36,2019-06-15,1.362,1.083,0.815,0.258,16.8,High
PRJ0182,Irrigation,State PWD,7.77,36,2022-01-06,0.417,0.275,0.202,0.265,10.5,Medium
PRJ0183,Irrigation,Indian Railways,234.98,36,2023-05-06,0.606,0.41,0.414,0.267,7.6,Medium
PRJ0184,Irrigation,CPWD,178.71,36,2019-12-05,0.691,0.631,0.564,0.155,6.0,Medium
PRJ0185,Power,CPWD,22.22,36,2023-05-15,0.952,0.721,0.608,0.136,11.4,Medium
PRJ0186,Roads & Highways,State PWD,218.95,12,2021-11-24,0.829,0.71,0.513,0.28,6.7,High
PRJ0187,Urban Infrastructure,CPWD,865.8,36,2019-02-11,0.654,0.559,0.421,0.291,10.9,Medium
PRJ0188,Railways,CPWD,138.82,18,2023-01-25,0.872,0.654,0.486,0.261,9.0,High
PRJ0189,Urban Infrastructure,NHAI,288.53,60,2023-08-07,1.007,0.774,0.714,0.262,17.7,Medium
PRJ0190,Urban Infrastructure,NTPC,72.81,36,2023-09-07,0.523,0.432,0.451,0.158,3.3,Medium
PRJ0191,Irrigation,CPWD,6.78,60,2020-04-11,0.773,0.733,0.729,0.181,9.6,Medium
PRJ0192,Railways,State PWD,30.39,36,2022-02-10,0.355,0.341,0.347,0.174,3.3,Medium
PRJ0193,Urban Infrastructure,NHAI,48.9,18,2020-03-20,1.297,0.908,0.722,0.243,9.1,High
PRJ0194,Irrigation,CPWD,306.41,12,2021-05-27,0.337,0.211,0.214,0.257,0.8,Medium
PRJ0195,Roads & Highways,NTPC,122.8,12,2022-04-09,1.36,1.121,1.152,0.142,2.5,Medium
PRJ0196,Roads & Highways,State PWD,28.09,60,2020-04-06,1.02,0.693,0.622,0.208,22.4,Medium
PRJ0197,Urban Infrastructure,NHAI,27.99,12,2022-05-15,0.9,0.893,0.696,0.238,4.3,Medium
PRJ0198,Roads & Highways,NHAI,4.43,36,2020-02-12,1.232,0.95,0.712,0.155,18.0,High
PRJ0199,Railways,Indian Railways,47.68,36,2020-06-07,1.166,0.752,0.62,0.382,17.1,High
PRJ0200,Irrigation,Municipal Corporation,52.45,24,2022-09-27,1.13,0.686,0.51,0.277,15.3,High
PRJ0201,Power,State PWD,77.42,36,2019-02-18,0.372,0.292,0.297,0.182,5.7,Medium
PRJ0202,Urban Infrastructure,NHAI,1830.64,24,2019-06-18,0.785,0.533,0.408,0.332,7.8,High
PRJ0203,Roads & Highways,Municipal Corporation,19.34,36,2019-12-19,1.287,1.04,0.891,0.127,11.6,Medium
PRJ0204,Power,State PWD,68.99,60,2020-05-13,1.382,0.907,0.699,0.287,39.7,High
PRJ0205,Urban Infrastructure,CPWD,24.3,48,2022-12-17,0.856,0.844,0.715,0.15,7.2,Medium
PRJ0206,Railways,NTPC,87.46,18,2019-01-23,0.916,0.743,0.707,0.209,6.2,Medium
PRJ0207,Irrigation,NHAI,65.71,36,2020-07-19,0.818,0.76,0.654,0.28,8.6,Medium
PRJ0208,Power,Municipal Corporation,4.65,18,2019-11-09,1.083,1.008,0.741,0.208,6.2,Medium
PRJ0209,Roads & Highways,NTPC,322.76,36,2022-01-22,0.688,0.644,0.557,0.161,5.8,Medium
PRJ0210,Urban Infrastructure,State PWD,63.38,36,2020-08-08,1.055,0.662,0.504,0.23,19.2,High
PRJ0211,Power,Municipal Corporation,37.73,24,2019-05-04,1.139,0.87,0.84,0.254,8.0,Medium
PRJ0212,Roads & Highways,NTPC,75.96,12,2023-06-06,1.016,0.965,0.675,0.161,2.2,Medium
PRJ0213,Urban Infrastructure,State PWD,5.0,60,2019-07-19,0.765,0.472,0.452,0.221,18.9,Medium
PRJ0214,Roads & Highways,NTPC,86.82,60,2023-01-26,1.069,1.001,1.044,0.154,7.6,Medium
PRJ0215,Urban Infrastructure,NHAI,112.77,12,2022-06-20,0.895,0.571,0.448,0.215,5.1,High
PRJ0216,Roads & Highways,CPWD,39.11,24,2020-06-19,0.63,0.565,0.405,0.192,8.2,Medium
PRJ0217,Roads & Highways,State PWD,31.33,24,2020-04-26,1.168,0.969,0.901,0.193,5.3,Medium
PRJ0218,Urban Infrastructure,NHAI,24.85,36,2021-08-03,0.336,0.318,0.23,0.106,5.9,Medium
PRJ0219,Urban Infrastructure,CPWD,95.81,48,2021-03-09,0.968,0.825,0.748,0.243,10.3,Medium
PRJ0220,Urban Infrastructure,Municipal Corporation,129.17,18,2022-11-17,1.368,0.964,0.767,0.294,9.9,High
PRJ0221,Roads & Highways,Indian Railways,33.66,12,2019-09-10,0.604,0.598,0.488,0.006,0.0,Low
PRJ0222,Power,State PWD,49.83,24,2021-11-29,0.891,0.839,0.602,0.247,8.5,High
PRJ0223,Roads & Highways,Indian Railways,3.96,18,2020-12-15,0.349,0.248,0.245,0.035,3.8,Medium
PRJ0224,Irrigation,NTPC,29.0,48,2021-10-31,0.333,0.289,0.207,0.235,10.1,Medium
PRJ0225,Irrigation,NHAI,278.28,48,2022-04-22,0.584,0.508,0.408,0.224,13.2,Medium
PRJ0226,Irrigation,NHAI,86.63,36,2022-05-20,0.426,0.321,0.276,0.17,7.9,Medium
PRJ0227,Urban Infrastructure,Municipal Corporation,43.57,18,2022-09-11,0.754,0.647,0.599,0.19,3.8,Medium
PRJ0228,Railways,NTPC,149.15,60,2022-01-07,1.261,1.122,0.833,0.26,28.3,High
PRJ0229,Roads & Highways,NHAI,8.44,24,2021-11-04,0.348,0.226,0.202,0.086,6.0,Medium
PRJ0230,Roads & Highways,CPWD,21.06,48,2022-05-31,0.773,0.672,0.535,0.194,10.8,Medium
PRJ0231,Urban Infrastructure,Municipal Corporation,97.6,48,2023-07-08,0.774,0.563,0.509,0.21,15.5,Medium
PRJ0232,Urban Infrastructure,Municipal Corporation,8.77,36,2020-11-05,0.484,0.373,0.28,0.137,9.6,Medium
PRJ0233,Urban Infrastructure,NTPC,57.66,36,2020-09-05,0.379,0.289,0.234,0.14,8.1,Medium
PRJ0234,Railways,Municipal Corporation,322.83,24,2021-10-04,0.416,0.277,0.288,0.221,5.6,Medium
PRJ0235,Railways,NTPC,7.81,18,2019-09-22,0.837,0.546,0.541,0.183,4.4,Medium
PRJ0236,Power,CPWD,11.04,36,2023-01-28,1.382,0.989,1.025,0.165,11.8,Medium
PRJ0237,Urban Infrastructure,State PWD,66.8,24,2022-10-03,1.217,0.945,0.761,0.168,9.3,Medium
PRJ0238,Roads & Highways,State PWD,27.58,18,2020-05-01,1.363,1.122,0.922,0.142,7.7,Medium
PRJ0239,Power,State PWD,43.56,24,2023-11-24,1.268,1.077,0.969,0.35,6.4,High
PRJ0240,Irrigation,Municipal Corporation,94.29,48,2022-07-03,1.298,0.847,0.769,0.227,27.4,High
PRJ0241,Urban Infrastructure,CPWD,76.62,12,2022-11-30,0.603,0.574,0.591,0.099,0.8,Low
PRJ0242,Urban Infrastructure,Municipal Corporation,15.03,36,2021-06-04,0.633,0.504,0.445,0.059,10.8,Medium
PRJ0243,Power,NTPC,42.78,36,2023-05-30,0.802,0.623,0.568,0.251,12.4,Medium
PRJ0244,Power,NHAI,83.1,12,2019-01-06,1.004,0.722,0.566,0.221,4.2,Medium
PRJ0245,Irrigation,State PWD,144.6,60,2019-02-24,1.259,1.021,0.941,0.308,23.6,High
PRJ0246,Roads & Highways,NTPC,93.59,18,2023-09-20,0.31,0.309,0.29,0.077,2.6,Low
PRJ0247,Power,NHAI,206.48,12,2019-01-11,1.331,1.236,1.2,0.152,3.0,Medium
